algoritmo,tamanho,repeticao,tempo_s
buscaBinariaIterativa,100000,28,0.000000050
buscaBinariaIterativa,100000,29,0.000000050
buscaBinariaIterativa,100000,30,0.000000050
buscaBinariaIterativa,100000,31,0.000000050
buscaBinariaIterativa,100000,32,0.000000050
buscaBinariaIterativa,100000,33,0.000000050
buscaBinariaIterativa,100000,34,0.000000050
buscaBinariaIterativa,100000,35,0.000000050
buscaBinariaIterativa,100000,36,0.000000060
buscaBinariaIterativa,100000,37,0.000000050
buscaBinariaIterativa,100000,38,0.000000050
buscaBinariaIterativa,100000,39,0.000000050
buscaBinariaIterativa,100000,40,0.000000050
buscaBinariaIterativa,100000,41,0.000000050
buscaBinariaIterativa,100000,42,0.000000050
buscaBinariaIterativa,100000,43,0.000000050
buscaBinariaIterativa,100000,44,0.000000050
buscaBinariaIterativa,100000,45,0.000000050
buscaBinariaIterativa,100000,46,0.000000050
buscaBinariaIterativa,100000,47,0.000000050
buscaBinariaIterativa,100000,48,0.000000050
buscaBinariaIterativa,100000,49,0.000000050
buscaBinariaIterativa,100000,50,0.000000050
buscaBinariaIterativa,100000,51,0.000000050
buscaBinariaIterativa,100000,52,0.000000050
buscaBinariaIterativa,100000,53,0.000000050
buscaBinariaIterativa,100000,54,0.000000050
buscaBinariaIterativa,100000,55,0.000000050
buscaBinariaIterativa,100000,56,0.000000060
buscaBinariaIterativa,100000,57,0.000000050
buscaBinariaIterativa,100000,58,0.000000050
buscaBinariaIterativa,100000,59,0.000000050
buscaBinariaIterativa,100000,60,0.000000051
buscaBinariaIterativa,100000,61,0.000000050
buscaBinariaIterativa,100000,62,0.000000050
buscaBinariaIterativa,100000,63,0.000000050
buscaBinariaIterativa,100000,64,0.000000050
buscaBinariaIterativa,100000,65,0.000000060
buscaBinariaIterativa,100000,66,0.000000050
buscaBinariaIterativa,100000,67,0.000000050
buscaBinariaIterativa,100000,68,0.000000050
buscaBinariaIterativa,100000,69,0.000000050
buscaBinariaIterativa,100000,70,0.000000060
buscaBinariaIterativa,100000,71,0.000000050
buscaBinariaIterativa,100000,72,0.000000050
buscaBinariaIterativa,100000,73,0.000000050
buscaBinariaIterativa,100000,74,0.000000050
buscaBinariaIterativa,100000,75,0.000000050
buscaBinariaIterativa,100000,76,0.000000061
buscaBinariaIterativa,100000,77,0.000000050
buscaBinariaIterativa,100000,78,0.000000050
buscaBinariaIterativa,100000,79,0.000000050
buscaBinariaIterativa,100000,80,0.000000060
buscaBinariaIterativa,100000,81,0.000000051
buscaBinariaIterativa,100000,82,0.000000050
buscaBinariaIterativa,100000,83,0.000000050
buscaBinariaIterativa,100000,84,0.000000050
buscaBinariaIterativa,100000,85,0.000000050
buscaBinariaIterativa,100000,86,0.000000060
buscaBinariaIterativa,100000,87,0.000000060
buscaBinariaIterativa,100000,88,0.000000051
buscaBinariaIterativa,100000,89,0.000000050
buscaBinariaIterativa,100000,90,0.000000050
buscaBinariaIterativa,100000,91,0.000000060
buscaBinariaIterativa,100000,92,0.000000060
buscaBinariaIterativa,100000,93,0.000000050
buscaBinariaIterativa,100000,94,0.000000050
buscaBinariaIterativa,100000,95,0.000000050
buscaBinariaIterativa,100000,96,0.000000060
buscaBinariaIterativa,100000,97,0.000000050
buscaBinariaIterativa,100000,98,0.000000051
buscaBinariaIterativa,100000,99,0.000000060
buscaBinariaIterativa,100000,100,0.000000060
buscaBinariaIterativa,500000,1,0.000000071
buscaBinariaIterativa,500000,2,0.000000060
buscaBinariaIterativa,500000,3,0.000000061
buscaBinariaIterativa,500000,4,0.000000060
buscaBinariaIterativa,500000,5,0.000000050
buscaBinariaIterativa,500000,6,0.000000060
buscaBinariaIterativa,500000,7,0.000000060
buscaBinariaIterativa,500000,8,0.000000060
buscaBinariaIterativa,500000,9,0.000000050
buscaBinariaIterativa,500000,10,0.000000060
buscaBinariaIterativa,500000,11,0.000000050
buscaBinariaIterativa,500000,12,0.000000060
buscaBinariaIterativa,500000,13,0.000000050
buscaBinariaIterativa,500000,14,0.000000050
buscaBinariaIterativa,500000,15,0.000000050
buscaBinariaIterativa,500000,16,0.000000050
buscaBinariaIterativa,500000,17,0.000000050
buscaBinariaIterativa,500000,18,0.000000050
buscaBinariaIterativa,500000,19,0.000000051
buscaBinariaIterativa,500000,20,0.000000060
buscaBinariaIterativa,500000,21,0.000000060
buscaBinariaIterativa,500000,22,0.000000060
buscaBinariaIterativa,500000,23,0.000000060
buscaBinariaIterativa,500000,24,0.000000060
buscaBinariaIterativa,500000,25,0.000000060
buscaBinariaIterativa,500000,26,0.000000060
buscaBinariaIterativa,500000,27,0.000000061
buscaBinariaIterativa,500000,28,0.000000060
buscaBinariaIterativa,500000,29,0.000000050
buscaBinariaIterativa,500000,30,0.000000050
buscaBinariaIterativa,500000,31,0.000000050
buscaBinariaIterativa,500000,32,0.000000050
buscaBinariaIterativa,500000,33,0.000000060
buscaBinariaIterativa,500000,34,0.000000060
buscaBinariaIterativa,500000,35,0.000000060
buscaBinariaIterativa,500000,36,0.000000060
buscaBinariaIterativa,500000,37,0.000000050
buscaBinariaIterativa,500000,38,0.000000050
buscaBinariaIterativa,500000,39,0.000000050
buscaBinariaIterativa,500000,40,0.000000051
buscaBinariaIterativa,500000,41,0.000000050
buscaBinariaIterativa,500000,42,0.000000050
buscaBinariaIterativa,500000,43,0.000000050
buscaBinariaIterativa,500000,44,0.000000050
buscaBinariaIterativa,500000,45,0.000000060
buscaBinariaIterativa,500000,46,0.000000060
buscaBinariaIterativa,500000,47,0.000000060
buscaBinariaIterativa,500000,48,0.000000060
